location_name,location_type,article_id
LaGrange,municipality,2685
LaGrange,municipality,2686
LaGrange,municipality,2687
LaGrange,municipality,2753
Duluth,municipality,120
Duluth,municipality,143
Duluth,municipality,484
Duluth,municipality,625
Duluth,municipality,701
Duluth,municipality,713
Duluth,municipality,741
Duluth,municipality,773
Duluth,municipality,774
Duluth,municipality,776
Duluth,municipality,777
Duluth,municipality,778
Duluth,municipality,792
Duluth,municipality,858
Duluth,municipality,875
Duluth,municipality,917
Duluth,municipality,1005
Duluth,municipality,1077
Duluth,municipality,1094
Duluth,municipality,1099
Duluth,municipality,1146
Duluth,municipality,1166
Duluth,municipality,1295
Duluth,municipality,1366
Duluth,municipality,1377
Duluth,municipality,1403
Duluth,municipality,1516
Duluth,municipality,1579
Duluth,municipality,1610
Duluth,municipality,1615
Duluth,municipality,1618
Duluth,municipality,1717
Duluth,municipality,1732
Duluth,municipality,1802
Duluth,municipality,1843
Duluth,municipality,1861
Duluth,municipality,1905
Duluth,municipality,1908
Duluth,municipality,1909
Duluth,municipality,1910
Duluth,municipality,1911
Duluth,municipality,1914
Duluth,municipality,1915
Duluth,municipality,1916
Duluth,municipality,1917
Duluth,municipality,2118
Duluth,municipality,2122
Duluth,municipality,2123
Duluth,municipality,2124
Duluth,municipality,2127
Duluth,municipality,2128
Duluth,municipality,2133
Duluth,municipality,2135
Duluth,municipality,2137
Duluth,municipality,2138
Duluth,municipality,2139
Duluth,municipality,2140
Duluth,municipality,2141
Duluth,municipality,2142
Duluth,municipality,2145
Duluth,municipality,2147
Duluth,municipality,2148
Duluth,municipality,2243
Duluth,municipality,2268
Duluth,municipality,2274
Duluth,municipality,2305
Duluth,municipality,2306
Duluth,municipality,2307
Duluth,municipality,2308
Duluth,municipality,2315
Duluth,municipality,2316
Duluth,municipality,2317
Duluth,municipality,2318
Duluth,municipality,2319
Duluth,municipality,2321
Duluth,municipality,2324
Duluth,municipality,2326
Duluth,municipality,2327
Duluth,municipality,2338
Duluth,municipality,2339
Duluth,municipality,2340
Duluth,municipality,2348
Duluth,municipality,2350
Duluth,municipality,2353
Duluth,municipality,2354
Duluth,municipality,2355
Duluth,municipality,2574
Duluth,municipality,2660
Martinez,municipality,138
Martinez,municipality,171
Martinez,municipality,178
Martinez,municipality,211
Martinez,municipality,282
Martinez,municipality,303
Martinez,municipality,379
Martinez,municipality,467
Martinez,municipality,534
Martinez,municipality,537
Martinez,municipality,538
Martinez,municipality,539
Martinez,municipality,541
Martinez,municipality,545
Martinez,municipality,547
Martinez,municipality,548
Martinez,municipality,551
Martinez,municipality,552
Martinez,municipality,561
Martinez,municipality,564
Martinez,municipality,628
Martinez,municipality,641
Martinez,municipality,664
